"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 13:27:10 GMT 2024","Tue Nov 05 13:27:11 GMT 2024","1614","","Main page","Main layout","MainPageTests","VerifyMainPageTitle","VerifyMainPageTitle",""
"passed","Tue Nov 05 13:26:55 GMT 2024","Tue Nov 05 13:27:10 GMT 2024","15044","","Main page","Main layout","MainPageTests","VerifyAllButtonsPresenceOnMainPage","VerifyAllButtonsPresenceOnMainPage",""
"passed","Tue Nov 05 13:26:55 GMT 2024","Tue Nov 05 13:27:13 GMT 2024","18404","","Click Events Page","Main layout","ClickEventsPageTests","VerifyResponsesForButtonsClick","VerifyResponsesForButtonsClick",""
