"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 09 14:47:02 GMT 2024","Wed Oct 09 14:47:14 GMT 2024","12318","","Click Events Page","Main layout","ClickEventsPageTests","UnstableTest","UnstableTest",""
"passed","Wed Oct 09 14:47:14 GMT 2024","Wed Oct 09 14:47:14 GMT 2024","946","","Main page","Main layout","MainPageTests","VerifyMainPageTitle","VerifyMainPageTitle",""
"passed","Wed Oct 09 14:47:14 GMT 2024","Wed Oct 09 14:47:15 GMT 2024","1382","","Click Events Page","Main layout","ClickEventsPageTests","VerifyResponsesForButtonsClick","VerifyResponsesForButtonsClick",""
"passed","Wed Oct 09 14:47:02 GMT 2024","Wed Oct 09 14:47:13 GMT 2024","11750","","Main page","Main layout","MainPageTests","VerifyAllButtonsPresenceOnMainPage","VerifyAllButtonsPresenceOnMainPage",""
