"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 13:41:14 GMT 2024","Tue Nov 05 13:41:16 GMT 2024","1650","","Main page","Main layout","MainPageTests","VerifyMainPageTitle","VerifyMainPageTitle",""
"passed","Tue Nov 05 13:41:05 GMT 2024","Tue Nov 05 13:41:15 GMT 2024","10140","","Click Events Page","Main layout","ClickEventsPageTests","VerifyResponsesForButtonsClick","VerifyResponsesForButtonsClick",""
"passed","Tue Nov 05 13:41:05 GMT 2024","Tue Nov 05 13:41:14 GMT 2024","9191","","Main page","Main layout","MainPageTests","VerifyAllButtonsPresenceOnMainPage","VerifyAllButtonsPresenceOnMainPage",""
