"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8991","VerifyAllButtonsPresenceOnMainPage","","Tue Dec 31 14:14:17 GMT 2024","passed","Tue Dec 31 14:14:26 GMT 2024","Main layout","Main page","MainPageTests","VerifyAllButtonsPresenceOnMainPage"
"","9885","VerifyResponsesForButtonsClick","","Tue Dec 31 14:14:17 GMT 2024","passed","Tue Dec 31 14:14:27 GMT 2024","Main layout","Click Events Page","ClickEventsPageTests","VerifyResponsesForButtonsClick"
"","550","VerifyMainPageTitle","","Tue Dec 31 14:14:26 GMT 2024","passed","Tue Dec 31 14:14:27 GMT 2024","Main layout","Main page","MainPageTests","VerifyMainPageTitle"
