"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 09 14:43:29 GMT 2024","Wed Oct 09 14:43:30 GMT 2024","1763","","Main page","Main layout","MainPageTests","VerifyMainPageTitle","VerifyMainPageTitle",""
"passed","Wed Oct 09 14:43:16 GMT 2024","Wed Oct 09 14:43:29 GMT 2024","12796","","Main page","Main layout","MainPageTests","VerifyAllButtonsPresenceOnMainPage","VerifyAllButtonsPresenceOnMainPage",""
"passed","Wed Oct 09 14:43:16 GMT 2024","Wed Oct 09 14:43:29 GMT 2024","13295","","Click Events Page","Main layout","ClickEventsPageTests","UnstableTest","UnstableTest",""
"passed","Wed Oct 09 14:43:29 GMT 2024","Wed Oct 09 14:43:32 GMT 2024","2704","","Click Events Page","Main layout","ClickEventsPageTests","VerifyResponsesForButtonsClick","VerifyResponsesForButtonsClick",""
