"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14111","VerifyAllButtonsPresenceOnMainPage","","Tue Dec 31 14:25:14 GMT 2024","passed","Tue Dec 31 14:25:28 GMT 2024","Main layout","Main page","MainPageTests","VerifyAllButtonsPresenceOnMainPage"
"","1652","VerifyMainPageTitle","","Tue Dec 31 14:25:29 GMT 2024","passed","Tue Dec 31 14:25:30 GMT 2024","Main layout","Main page","MainPageTests","VerifyMainPageTitle"
"","14451","VerifyResponsesForButtonsClick","","Tue Dec 31 14:25:14 GMT 2024","passed","Tue Dec 31 14:25:29 GMT 2024","Main layout","Click Events Page","ClickEventsPageTests","VerifyResponsesForButtonsClick"
