"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 09 16:14:55 GMT 2024","Wed Oct 09 16:14:56 GMT 2024","693","","Main page","Main layout","MainPageTests","VerifyMainPageTitle","VerifyMainPageTitle",""
"passed","Wed Oct 09 16:14:44 GMT 2024","Wed Oct 09 16:14:55 GMT 2024","11361","","Main page","Main layout","MainPageTests","VerifyAllButtonsPresenceOnMainPage","VerifyAllButtonsPresenceOnMainPage",""
"passed","Wed Oct 09 16:14:44 GMT 2024","Wed Oct 09 16:14:55 GMT 2024","11703","","Click Events Page","Main layout","ClickEventsPageTests","VerifyResponsesForButtonsClick","VerifyResponsesForButtonsClick",""
