"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 11 13:27:09 GMT 2024","Fri Oct 11 13:27:26 GMT 2024","17302","","Main page","Main layout","MainPageTests","VerifyAllButtonsPresenceOnMainPage","VerifyAllButtonsPresenceOnMainPage",""
"passed","Fri Oct 11 13:27:26 GMT 2024","Fri Oct 11 13:27:27 GMT 2024","687","","Main page","Main layout","MainPageTests","VerifyMainPageTitle","VerifyMainPageTitle",""
"passed","Fri Oct 11 13:27:09 GMT 2024","Fri Oct 11 13:27:28 GMT 2024","18857","","Click Events Page","Main layout","ClickEventsPageTests","VerifyResponsesForButtonsClick","VerifyResponsesForButtonsClick",""
