"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8404","VerifyAllButtonsPresenceOnMainPage","","Tue Dec 31 14:22:18 GMT 2024","passed","Tue Dec 31 14:22:27 GMT 2024","Main layout","Main page","MainPageTests","VerifyAllButtonsPresenceOnMainPage"
"","504","VerifyMainPageTitle","","Tue Dec 31 14:22:27 GMT 2024","passed","Tue Dec 31 14:22:27 GMT 2024","Main layout","Main page","MainPageTests","VerifyMainPageTitle"
"","8685","VerifyResponsesForButtonsClick","","Tue Dec 31 14:22:18 GMT 2024","passed","Tue Dec 31 14:22:27 GMT 2024","Main layout","Click Events Page","ClickEventsPageTests","VerifyResponsesForButtonsClick"
